,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Thailand,2,,,,,,,,,,,,,,,,,,11,,,,,,,,,,12,,,12,,,8,,,3,,,,6,6,2,5,,,,6,4,,,,,,,,,,6,,,,,,,81
,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,Turkey,,,4,6,76,81,,19,79,,,,,,,,,,9,9,9,9,9,9,,,,,,,,,,,,,67,67,,,,,,,,,,,,,,,,,,,,,,,3,12,9,4,,,482
,UAE,,,,,,,,,,,,,,,,,,,8,8,,4,,,,,,,53,,,,22,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,2,13,11,5,13,14,158
,Uganda,,,,,,,,,,,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
,United Kingdom,,,1,5,5,5,,,,,,,,,,,,,,,,,2,3,3,3,3,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,162
,United Nations**,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,8
,United States,23,52,262,52,37,32,29,29,29,44,29,173,173,173,169,53,,,,,13,123,14,14,13,12,,,,1,,1,,8,27,34,58,59,29,3,,13,,7,57,106,,2,3,1,8,31,121,181,135,135,149,154,164,121,180,195,163,65,18,14,3788
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,11
,Uruguay,,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,15,,,,,,,23
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
,Venezuela,,,,18,,,,,,,,,,,,,,,,,,,58,,6,,,,,,4,4,11,,,,9,10,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,122
,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,16,4,27
,Yugoslavia,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Zambia,,,,,,,,,,,,,,,,16,0,,,,,4,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,117
